Evaluation,Start,Kp,Ki,Kd,Objective,TrackingCost,AmplitudeCost,A_Saturation_pct,SuccessfulCases,FailedCases,Status,Timestamp
226,3,0.0239048606713987,5.1828633561079e-06,3.95956875917246e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:00:09
227,3,0.0239011748220383,5.18271613555368e-06,3.95792741334468e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:00:53
228,3,0.0239036367855958,5.18288677788482e-06,3.95856268528602e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:01:37
229,3,0.023903742903424,5.18248527405757e-06,3.95853091905719e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:02:22
230,3,0.0238999508935093,5.18273955676964e-06,3.95692179269256e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:03:06
231,3,0.0239027949137121,5.18254884374938e-06,3.95812857080413e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:06:41
232,3,0.0239009519690557,5.18247523679791e-06,3.95730812987933e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:16:30
233,3,0.0239021829606081,5.18256055402748e-06,3.95762569798756e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:17:14
234,3,0.0239022360202662,5.18235980948996e-06,3.95760981892438e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:17:59
235,4,0.02,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:19:29
236,4,0.0217303910644056,3e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:20:14
237,4,0.02,3.42225199443314e-05,1e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:20:58
238,4,0.02,3e-05,1.00115195553217e-06,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:21:43
239,4,0.0211539019883274,3.27811566706692e-05,9.98849369942493e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 16:22:28
